driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Shane Van Gisbergen,4469,Chv,88,215,24,112.215,24.061,Trackhouse Racing,False,False,27,14,green
Jesse Love,4463,Chv,33,317,36,112.215,24.061,Richard Childress Racing,False,True,35,33,green
Kyle Larson,4030,Chv,5,241,8,112.215,24.061,Hendrick Motorsports,False,False,30,6,restart
Todd Gilliland,4231,Frd,34,139,31,112.215,24.061,Front Row Motorsports,False,False,31,25,green
Joey Logano,3859,Frd,22,84,15,112.215,24.061,Team Penske,False,False,38,4,green
Zane Smith,4272,Frd,38,44,21,112.210,24.062,Front Row Motorsports,False,False,29,11,green
John Hunter Nemechek,4092,Tyt,42,287,35,112.210,24.062,Legacy Motor Club,False,False,34,36,green
Austin Dillon,3873,Chv,3,252,1,112.210,24.062,Richard Childress Racing,False,False,11,1,green
Ty Gibbs,4368,Tyt,54,218,27,112.210,24.062,Joe Gibbs Racing,False,False,23,18,green
Ross Chastain,4001,Chv,1,5,29,112.210,24.062,Trackhouse Racing,False,False,33,19,green
Ty Gibbs,4368,Tyt,54,295,19,112.210,24.062,Joe Gibbs Racing,False,False,23,18,green
Corey Heim,4387,Tyt,67,188,37,112.205,24.063,23XI Racing,False,True,32,29,caution
Noah Gragson,4224,Frd,4,240,35,112.205,24.063,Front Row Motorsports,False,False,22,27,caution
Joey Logano,3859,Frd,22,4,36,112.205,24.063,Team Penske,False,False,38,4,green
Chase Briscoe,4228,Tyt,19,299,9,112.205,24.063,Joe Gibbs Racing,False,False,19,13,green
AJ Allmendinger,3774,Chv,16,352,18,112.201,24.064,Kaulig Racing,False,False,3,22,green
Todd Gilliland,4231,Frd,34,243,27,112.201,24.064,Front Row Motorsports,False,False,31,25,green
Brad Keselowski,1816,Frd,6,87,6,112.196,24.065,RFK Racing,False,False,6,9,green
AJ Allmendinger,3774,Chv,16,196,32,112.196,24.065,Kaulig Racing,False,False,3,22,caution
