driver_name,driver_id,manufacturer,car_number,lap_number,running_position,lap_speed,lap_time,team,playoffs,points_ineligible,starting_position,finish_position,statuses
Christopher Bell,4153,Tyt,20,215,10,112.613,23.976,Joe Gibbs Racing,False,False,8,21,green
Cole Custer,4104,Frd,41,46,34,112.613,23.976,Haas Factory Team,False,False,24,24,green
Ryan Preece,4070,Frd,60,155,35,112.613,23.976,RFK Racing,False,False,1,35,green
Ty Gibbs,4368,Tyt,54,215,28,112.608,23.977,Joe Gibbs Racing,False,False,23,18,green
John Hunter Nemechek,4092,Tyt,42,286,35,112.608,23.977,Legacy Motor Club,False,False,34,36,green
Ryan Preece,4070,Frd,60,120,32,112.608,23.977,RFK Racing,False,False,1,35,green
Austin Dillon,3873,Chv,3,131,2,112.608,23.977,Richard Childress Racing,False,False,11,1,green
Noah Gragson,4224,Frd,4,37,33,112.608,23.977,Front Row Motorsports,False,False,22,27,green
Daniel Suarez,4113,Chv,99,84,7,112.608,23.977,Trackhouse Racing,False,False,21,7,green
Bubba Wallace,4025,Tyt,23,46,11,112.603,23.978,23XI Racing,False,False,7,28,green
Erik Jones,4059,Tyt,43,179,22,112.603,23.978,Legacy Motor Club,False,False,18,26,green
Chris Buescher,3989,Frd,17,40,26,112.603,23.978,RFK Racing,False,False,12,30,green
Austin Cindric,4180,Frd,2,304,11,112.603,23.978,Team Penske,False,False,13,5,green
Riley Herbst,4269,Tyt,35,45,31,112.603,23.978,23XI Racing,False,False,26,31,green
AJ Allmendinger,3774,Chv,16,8,2,112.599,23.979,Kaulig Racing,False,False,3,22,green
William Byron,4184,Chv,24,349,20,112.594,23.980,Hendrick Motorsports,False,False,14,12,green
Chase Briscoe,4228,Tyt,19,245,24,112.594,23.980,Joe Gibbs Racing,False,False,19,13,green
